Ticker,Company,Net Income ($M),Income ≥$75M,EPS 5yr Growth,ROE (%),ROE >10%,Int. Coverage,Int.Cov >1,Score,_score
PLTR,PLTR,"1,625",PASS,PASS,22.0,PASS,No Debt,PASS,4/4,4
MSFT,MSFT,"101,832",PASS,PASS,29.6,PASS,53.9,PASS,4/4,4
NVDA,NVDA,"120,067",PASS,FAIL,76.3,PASS,503.4,PASS,3/4,3
META,META,"60,458",PASS,FAIL,27.8,PASS,No Debt,PASS,3/4,3
NFLX,NFLX,"10,981",PASS,FAIL,41.3,PASS,17.2,PASS,3/4,3
NKE,NKE,"3,219",PASS,FAIL,24.4,PASS,12.8,PASS,3/4,3
PYPL,PYPL,"5,233",PASS,FAIL,25.8,PASS,13.8,PASS,3/4,3
PEP,PEP,"8,240",PASS,FAIL,40.4,PASS,12.0,PASS,3/4,3
MGM,MGM,206,PASS,FAIL,8.5,FAIL,2.4,PASS,2/4,2
PFE,PFE,"7,770",PASS,FAIL,9.0,FAIL,5.8,PASS,2/4,2
